player_id,player_name,pitcher_hand,pitch_type,abbreviation
TOBrien1,Trafton OBrien,R,Fastball,FF
TOBrien1,Trafton OBrien,R,Curveball,CB
TOBrien1,Trafton OBrien,R,Splitter,FS
JFinkelstein1,Jason Finkelstein,R,Fastball,FF
JFinkelstein1,Jason Finkelstein,R,Slider,SL
JFinkelstein1,Jason Finkelstein,R,Changeup,CH
JClark1,James Clark,R,Fastball,FF
JClark1,James Clark,R,Slider,SL
JClark1,James Clark,R,Changeup,CH
CDoan1,Connor Doan,R,Fastball,FF
CDoan1,Connor Doan,R,Slider,SL
CDoan1,Connor Doan,R,Changeup,CH
ZTeator1,Zander Teator,R,Fastball,FF
ZTeator1,Zander Teator,R,Slider,SL
CBurrows1,Chase Burrows,L,Fastball,FF
CBurrows1,Chase Burrows,L,Slider,SL
CBurrows1,Chase Burrows,L,Changeup,CH
DJames1,Dillon James,R,Fastball,FF
DJames1,Dillon James,R,Curveball,CU
DJames1,Dillon James,R,Changeup,CH
